state_fips,state_abbr,zcta,house_district
04,AZ,85137,04
04,AZ,85138,01
04,AZ,85139,01
04,AZ,85139,03
04,AZ,85140,04
04,AZ,85141,01
04,AZ,85142,04
04,AZ,85142,05
04,AZ,85143,04
04,AZ,85145,01
04,AZ,85147,01
04,AZ,85172,01
04,AZ,85173,01
04,AZ,85173,04
04,AZ,85192,01
04,AZ,85193,01
04,AZ,85193,03
04,AZ,85194,01
04,AZ,85201,05
04,AZ,85201,06
04,AZ,85201,09
04,AZ,85202,09
04,AZ,85203,05
04,AZ,85203,06
04,AZ,85203,09
04,AZ,85204,05
04,AZ,85204,09
04,AZ,85205,05
04,AZ,85206,05
04,AZ,85207,04
04,AZ,85207,05
04,AZ,85208,05
04,AZ,85209,05
04,AZ,85210,05
04,AZ,85210,09
04,AZ,85212,05
04,AZ,85213,05
04,AZ,85215,04
04,AZ,85215,05
04,AZ,85215,06
04,AZ,85224,05
04,AZ,85224,09
04,AZ,85225,05
04,AZ,85225,09
04,AZ,85226,01
04,AZ,85226,09
04,AZ,85233,05
04,AZ,85233,09
04,AZ,85234,05
04,AZ,85248,01
04,AZ,85248,05
04,AZ,85249,05
04,AZ,85250,06
04,AZ,85251,06
04,AZ,85251,09
04,AZ,85253,06
04,AZ,85253,09
04,AZ,85254,06
04,AZ,85255,06
04,AZ,85256,06
04,AZ,85256,09
04,AZ,85257,06
04,AZ,85257,09
04,AZ,85258,06
04,AZ,85259,06
04,AZ,85260,06
04,AZ,85262,04
04,AZ,85262,06
04,AZ,85263,04
04,AZ,85263,06
04,AZ,85264,04
04,AZ,85264,06
04,AZ,85266,06
04,AZ,85268,06
04,AZ,85281,06
04,AZ,85281,07
04,AZ,85281,09
04,AZ,85282,07
04,AZ,85282,09
04,AZ,85283,07
04,AZ,85283,09
04,AZ,85284,09
04,AZ,85286,05
04,AZ,85295,05
04,AZ,85296,05
04,AZ,85297,05
04,AZ,85298,05
04,AZ,85301,06
04,AZ,85301,07
04,AZ,85301,08
04,AZ,85302,06
04,AZ,85302,08
04,AZ,85303,07
04,AZ,85303,08
